ts_ms,raw_Sv_per_s,avg_Sv_per_s,total_Sv,alert
1763417968756,0.019258333,0.0057775,0.0032065125,0
1763417968783,0.021495833,0.010493,0.0037626415,0
1763417968831,0.018629167,0.01293385,0.00437053245,0
1763417968858,0.01775,0.014378695,0.00483065069,0
1763417968889,0.018929167,0.015743836,0.005334453458,0
1763417968940,0.0201,0.017050686,0.0058800753956,0
1763417968962,0.020741667,0.01815798,0.00662455257088,0
1763417969032,0.019175,0.018463086,0.00771387464014,0
1763417969055,0.017804167,0.01826541,0.00831663317488,0
1763417969119,0.0187625,0.018414537,0.00947674901221,0
1763417969154,0.018475,0.018432676,0.0101403253471,0
1763417969188,0.0182625,0.018381623,0.0107285372889,0
1763417969218,0.019641667,0.018759636,0.0113288456481,0
1763417969250,0.019358333,0.018939245,0.0119349014995,0
1763417969280,0.019491667,0.019104972,0.0125462605956,0
1763417969318,0.019166667,0.01912348,0.0132347058837,0
1763417969351,0.019925,0.019363936,0.0138543518407,0
1763417969400,0.019241667,0.019327255,0.0144728240107,0
1763417969421,0.018354167,0.019035329,0.0152532724881,0
1763417969487,0.020866667,0.01958473,0.0164087715641,0
1763417969512,0.019920833,0.019685561,0.0170387095184,0
1763417969544,0.017766667,0.019109893,0.0176502260864,0
1763417969594,0.0161875,0.018233175,0.018233687684,0
1763417969617,0.0163875,0.017679472,0.0189231871094,0
1763417969684,0.021604167,0.018856881,0.0200734568329,0
1763417969709,0.0209,0.019469816,0.0206964909609,0
1763417969740,0.020904167,0.019900122,0.0213332948505,0
1763417969775,0.019625,0.019817585,0.0219674575732,0
1763417969809,0.018929167,0.01955106,0.0226712957173,0
1763417969840,0.0204125,0.019809492,0.0233051994515,0
1763417969871,0.019520833,0.019722894,0.0239363320654,0
1763417969904,0.019,0.019506026,0.0245605248951,0
1763417969937,0.018379167,0.019167968,0.0251738998759,0
1763417969973,0.019733333,0.019337578,0.0258700526733,0
1763417970004,0.0210875,0.019862554,0.0265056544139,0
1763417970039,0.020225,0.019971288,0.0271447356323,0
1763417970072,0.018791667,0.019617402,0.0277724924852,0
1763417970104,0.0192375,0.019503431,0.0284746160068,0
1763417970136,0.018533333,0.019212402,0.0290894128647,0
1763417970171,0.017679167,0.018752431,0.0296894906653,0
1763417970202,0.0208125,0.019370452,0.0303093451257,0
1763417970235,0.022820833,0.020405566,0.0309623232479,0
1763417970271,0.021941667,0.020866396,0.0317135135192,0
1763417970303,0.0197625,0.020535227,0.0323706407991,0
1763417970334,0.018620833,0.019960909,0.0330093898951,0
1763417970367,0.019933333,0.019952636,0.0336478742622,0
1763417970396,0.019704167,0.019878096,0.0342839733192,0
1763417970435,0.019879167,0.019878417,0.0349995963266,0
1763417970468,0.0213875,0.020331142,0.0356501928646,0
1763417970497,0.021520833,0.020688049,0.0363122104411,0
1763417970530,0.019558333,0.020349134,0.0369633827447,0
1763417970562,0.019283333,0.020029394,0.0376043233572,0
1763417970597,0.018683333,0.019625576,0.0383108440896,0
1763417970629,0.019266667,0.019517903,0.0389354169897,0
1763417970662,0.0195,0.019512532,0.0395598180198,0
1763417970693,0.018629167,0.019247523,0.0401757387408,0
1763417970725,0.019104167,0.019204516,0.0407902832456,0
1763417970763,0.01995,0.019428161,0.0414896970431,0
1763417970793,0.019058333,0.019317213,0.0421078478504,0
1763417970824,0.0195,0.019372049,0.0427277534155,0
1763417970857,0.019220833,0.019326684,0.0433462073111,0
1763417970890,0.018175,0.018981179,0.043953605038,0
1763417970927,0.017191667,0.018444325,0.044617600748,0
1763417970958,0.01625,0.017786028,0.0451867536342,0
1763417970988,0.016570833,0.017421469,0.0457442406545,0
1763417971021,0.016033333,0.017005029,0.0462884015687,0
1763417971053,0.013683333,0.01600852,0.0468006742087,0
1763417971089,0.013758333,0.015333464,0.0473526789127,0
1763417971124,0.013508333,0.014785925,0.0478258285062,0
1763417971154,0.013833333,0.014500147,0.0482898332217,0
1763417971186,0.012633333,0.013940103,0.0487359165226,0
1763417971218,0.011233333,0.013128072,0.0491560148332,0
1763417971254,0.010558333,0.012357151,0.0496008722528,0
1763417971286,0.010991667,0.011947505,0.049983192425,0
1763417971319,0.0095458333,0.011227004,0.0503424565455,0
1763417971350,0.0093666667,0.010668903,0.0506838614299,0
